date,activity,index,Activity,weekend
2020-06-14,Retail and Recreation,0,Retail and Recreation,TRUE
2020-06-14,Workplace,-0.1,Workplace,TRUE
2020-06-14,Residential,0,Residential,TRUE
2020-06-15,Retail and Recreation,0.07,Retail and Recreation,FALSE
2020-06-15,Workplace,-0.255,Workplace,FALSE
2020-06-15,Residential,0.055,Residential,FALSE
2020-06-16,Retail and Recreation,0.06,Retail and Recreation,FALSE
2020-06-16,Workplace,-0.255,Workplace,FALSE
2020-06-16,Residential,0.06,Residential,FALSE
2020-06-17,Retail and Recreation,0.07,Retail and Recreation,FALSE
2020-06-17,Workplace,-0.25,Workplace,FALSE
2020-06-17,Residential,0.06,Residential,FALSE
2020-06-18,Retail and Recreation,0.065,Retail and Recreation,FALSE
2020-06-18,Workplace,-0.26,Workplace,FALSE
2020-06-18,Residential,0.06,Residential,FALSE
2020-06-19,Retail and Recreation,0.005,Retail and Recreation,FALSE
2020-06-19,Workplace,-0.28,Workplace,FALSE
2020-06-19,Residential,0.05,Residential,FALSE
2020-06-20,Retail and Recreation,-0.04,Retail and Recreation,TRUE
2020-06-20,Workplace,-0.09,Workplace,TRUE
2020-06-20,Residential,-0.01,Residential,TRUE
2020-06-21,Retail and Recreation,-0.03,Retail and Recreation,TRUE
2020-06-21,Workplace,-0.105,Workplace,TRUE
2020-06-21,Residential,0,Residential,TRUE
2020-06-22,Retail and Recreation,0.025,Retail and Recreation,FALSE
2020-06-22,Workplace,-0.27,Workplace,FALSE
2020-06-22,Residential,0.07,Residential,FALSE
2020-06-23,Retail and Recreation,0.05,Retail and Recreation,FALSE
2020-06-23,Workplace,-0.26,Workplace,FALSE
2020-06-23,Residential,0.065,Residential,FALSE
2020-06-24,Retail and Recreation,0.06,Retail and Recreation,FALSE
2020-06-24,Workplace,-0.25,Workplace,FALSE
2020-06-24,Residential,0.05,Residential,FALSE
2020-06-25,Retail and Recreation,0.05,Retail and Recreation,FALSE
2020-06-25,Workplace,-0.245,Workplace,FALSE
2020-06-25,Residential,0.055,Residential,FALSE
2020-06-26,Retail and Recreation,-0.02,Retail and Recreation,FALSE
2020-06-26,Workplace,-0.27,Workplace,FALSE
2020-06-26,Residential,0.06,Residential,FALSE
2020-06-27,Retail and Recreation,-0.08,Retail and Recreation,TRUE
2020-06-27,Workplace,-0.09,Workplace,TRUE
2020-06-27,Residential,0.02,Residential,TRUE
2020-06-28,Retail and Recreation,-0.03,Retail and Recreation,TRUE
2020-06-28,Workplace,-0.09,Workplace,TRUE
2020-06-28,Residential,0.01,Residential,TRUE
2020-06-29,Retail and Recreation,0.06,Retail and Recreation,FALSE
2020-06-29,Workplace,-0.28,Workplace,FALSE
2020-06-29,Residential,0.07,Residential,FALSE
2020-06-30,Retail and Recreation,0.08,Retail and Recreation,FALSE
2020-06-30,Workplace,-0.28,Workplace,FALSE
2020-06-30,Residential,0.07,Residential,FALSE
2020-07-01,Retail and Recreation,0.12,Retail and Recreation,FALSE
2020-07-01,Workplace,-0.3,Workplace,FALSE
2020-07-01,Residential,0.06,Residential,FALSE
2020-07-02,Retail and Recreation,0.18,Retail and Recreation,FALSE
2020-07-02,Workplace,-0.34,Workplace,FALSE
2020-07-02,Residential,0.06,Residential,FALSE
2020-07-03,Retail and Recreation,0.06,Retail and Recreation,FALSE
2020-07-03,Workplace,-0.57,Workplace,FALSE
2020-07-03,Residential,0.12,Residential,FALSE
2020-07-04,Retail and Recreation,-0.29,Retail and Recreation,TRUE
2020-07-04,Workplace,-0.29,Workplace,TRUE
2020-07-04,Residential,0,Residential,TRUE
2020-07-05,Retail and Recreation,-0.11,Retail and Recreation,TRUE
2020-07-05,Workplace,-0.16,Workplace,TRUE
2020-07-05,Residential,0,Residential,TRUE
2020-07-06,Retail and Recreation,0.06,Retail and Recreation,FALSE
2020-07-06,Workplace,-0.31,Workplace,FALSE
2020-07-06,Residential,0.07,Residential,FALSE
2020-07-07,Retail and Recreation,0.05,Retail and Recreation,FALSE
2020-07-07,Workplace,-0.29,Workplace,FALSE
2020-07-07,Residential,0.07,Residential,FALSE
2020-07-08,Retail and Recreation,0.05,Retail and Recreation,FALSE
2020-07-08,Workplace,-0.28,Workplace,FALSE
2020-07-08,Residential,0.06,Residential,FALSE
2020-07-09,Retail and Recreation,0.05,Retail and Recreation,FALSE
2020-07-09,Workplace,-0.28,Workplace,FALSE
2020-07-09,Residential,0.06,Residential,FALSE
2020-07-10,Retail and Recreation,-0.01,Retail and Recreation,FALSE
2020-07-10,Workplace,-0.285,Workplace,FALSE
2020-07-10,Residential,0.07,Residential,FALSE
2020-07-11,Retail and Recreation,-0.07,Retail and Recreation,TRUE
2020-07-11,Workplace,-0.08,Workplace,TRUE
2020-07-11,Residential,0,Residential,TRUE
2020-07-12,Retail and Recreation,-0.01,Retail and Recreation,TRUE
2020-07-12,Workplace,-0.11,Workplace,TRUE
2020-07-12,Residential,0.01,Residential,TRUE
2020-07-13,Retail and Recreation,0.06,Retail and Recreation,FALSE
2020-07-13,Workplace,-0.27,Workplace,FALSE
2020-07-13,Residential,0.05,Residential,FALSE
2020-07-14,Retail and Recreation,0.05,Retail and Recreation,FALSE
2020-07-14,Workplace,-0.28,Workplace,FALSE
2020-07-14,Residential,0.06,Residential,FALSE
2020-07-15,Retail and Recreation,0.04,Retail and Recreation,FALSE
2020-07-15,Workplace,-0.28,Workplace,FALSE
2020-07-15,Residential,0.06,Residential,FALSE
2020-07-16,Retail and Recreation,0.02,Retail and Recreation,FALSE
2020-07-16,Workplace,-0.27,Workplace,FALSE
2020-07-16,Residential,0.07,Residential,FALSE
2020-07-17,Retail and Recreation,-0.01,Retail and Recreation,FALSE
2020-07-17,Workplace,-0.29,Workplace,FALSE
2020-07-17,Residential,0.06,Residential,FALSE
2020-07-18,Retail and Recreation,-0.08,Retail and Recreation,TRUE
2020-07-18,Workplace,-0.1,Workplace,TRUE
2020-07-18,Residential,0,Residential,TRUE
2020-07-19,Retail and Recreation,-0.09,Retail and Recreation,TRUE
2020-07-19,Workplace,-0.13,Workplace,TRUE
2020-07-19,Residential,0.02,Residential,TRUE
2020-07-20,Retail and Recreation,0.025,Retail and Recreation,FALSE
2020-07-20,Workplace,-0.27,Workplace,FALSE
2020-07-20,Residential,0.06,Residential,FALSE
2020-07-21,Retail and Recreation,0.01,Retail and Recreation,FALSE
2020-07-21,Workplace,-0.27,Workplace,FALSE
2020-07-21,Residential,0.07,Residential,FALSE
2020-07-22,Retail and Recreation,0.01,Retail and Recreation,FALSE
2020-07-22,Workplace,-0.27,Workplace,FALSE
2020-07-22,Residential,0.07,Residential,FALSE
2020-07-23,Retail and Recreation,0.01,Retail and Recreation,FALSE
2020-07-23,Workplace,-0.26,Workplace,FALSE
2020-07-23,Residential,0.06,Residential,FALSE
2020-07-24,Retail and Recreation,-0.03,Retail and Recreation,FALSE
2020-07-24,Workplace,-0.27,Workplace,FALSE
2020-07-24,Residential,0.06,Residential,FALSE
2020-07-25,Retail and Recreation,-0.08,Retail and Recreation,TRUE
2020-07-25,Workplace,-0.1,Workplace,TRUE
2020-07-25,Residential,-0.01,Residential,TRUE
2020-07-26,Retail and Recreation,-0.05,Retail and Recreation,TRUE
2020-07-26,Workplace,-0.11,Workplace,TRUE
