end_date,age_grp,daily_cases,weekly_cases,pop,prop_cases
Sep 05,60 to 69,72,531,772889,0.687032678689954
Sep 05,70 to 79,42,298,450969,0.660799301060605
Sep 05,80 and older,36,230,253527,0.907201205394297
Sep 12,0 to 19,122,1122,1752893,0.64008470568369
Sep 12,20 to 29,205,1482,930073,1.59342331193358
Sep 12,30 to 39,84,626,844497,0.741269655191197
Sep 12,40 to 49,117,696,815370,0.853600206041429
Sep 12,50 to 59,82,596,871660,0.683752839409862
Sep 12,60 to 69,64,456,772889,0.589994164750695
Sep 12,70 to 79,40,264,450969,0.585406092214764
Sep 12,80 and older,25,210,253527,0.828314144055663
Sep 19,0 to 19,102,1091,1752893,0.62239965588316
Sep 19,20 to 29,191,1550,930073,1.66653585256211
Sep 19,30 to 39,101,828,844497,0.980465294725736
Sep 19,40 to 49,92,788,815370,0.966432417184836
Sep 19,50 to 59,84,696,871660,0.798476470183328
Sep 19,60 to 69,82,581,772889,0.751725021316127
Sep 19,70 to 79,47,359,450969,0.79606358751932
Sep 19,80 and older,33,282,253527,1.11230756487475
Sep 26,0 to 19,146,1001,1752893,0.57105596291388
Sep 26,20 to 29,174,1279,930073,1.37516087446899
Sep 26,30 to 39,115,790,844497,0.935468095209338
Sep 26,40 to 49,126,825,815370,1.01181058905773
Sep 26,50 to 59,130,756,871660,0.867310648647408
Sep 26,60 to 69,103,641,772889,0.829355832467534
Sep 26,70 to 79,64,397,450969,0.880326585641142
Sep 26,80 and older,50,318,253527,1.25430427528429
Oct 03,0 to 19,156,1110,1752893,0.633238879954453
Oct 03,20 to 29,171,1385,930073,1.48913042309582
Oct 03,30 to 39,150,1119,844497,1.325049112075
Oct 03,40 to 49,156,1092,815370,1.33926928878914
Oct 03,50 to 59,171,1074,871660,1.23213179450703
Oct 03,60 to 69,143,911,772889,1.17869448264887
Oct 03,70 to 79,88,574,450969,1.27281476110331
Oct 03,80 and older,58,447,253527,1.76312582091848
Oct 10,0 to 19,204,1345,1752893,0.767302967152017
Oct 10,20 to 29,273,1656,930073,1.78050540118894
Oct 10,30 to 39,245,1405,844497,1.66371224527737
Oct 10,40 to 49,213,1349,815370,1.65446361774409
Oct 10,50 to 59,224,1493,871660,1.71282380744786
Oct 10,60 to 69,181,1239,772889,1.60307625027656
Oct 10,70 to 79,136,786,450969,1.74291359273032
Oct 10,80 and older,98,598,253527,2.35872313402517
Oct 17,0 to 19,228,1708,1752893,0.974389195461446
Oct 17,20 to 29,276,2140,930073,2.30089466095672
Oct 17,30 to 39,223,1729,844497,2.04737257799613
Oct 17,40 to 49,221,1794,815370,2.20022811729644
Oct 17,50 to 59,263,1999,871660,2.2933253791616
Oct 17,60 to 69,185,1545,772889,1.99899338714874
Oct 17,70 to 79,130,982,450969,2.1775332672534
Oct 17,80 and older,87,689,253527,2.71765926311596
Oct 24,0 to 19,282,2037,1752893,1.16207891753804
Oct 24,20 to 29,391,2558,930073,2.75032174893799
Oct 24,30 to 39,297,2084,844497,2.46774115242565
Oct 24,40 to 49,303,2179,815370,2.67240639219005
Oct 24,50 to 59,314,2260,871660,2.59275405548035
Oct 24,60 to 69,233,1803,772889,2.33280587509979
Oct 24,70 to 79,163,1196,450969,2.6520669935184
Oct 24,80 and older,142,906,253527,3.57358387864015
